"qb","school","bin","epa","cpoe","passes"
"1","AJ Bianco","Nevada","BC",1.09569457173347,-16.0500009854635,3
"2","AJ Bianco","Nevada","BL",-0.960195183753967,13.1913483142853,2
"3","AJ Bianco","Nevada","BR",0.424655437469482,15.7151877880096,3
"4","AJ Bianco","Nevada","DC",-0.570778012275696,-39.1029447317123,1
"5","AJ Bianco","Nevada","DL",5.17520093917847,67.8984373807907,1
"6","AJ Bianco","Nevada","DR",0.0544790625572205,-20.3684315085411,1
"7","AJ Bianco","Nevada","MC",0.329564094543457,-29.1237473487854,3
"8","AJ Bianco","Nevada","ML",1.00890600681305,42.2252655029297,1
"9","AJ Bianco","Nevada","SC",2.06774973869324,33.3386778831482,1
"10","AJ Bianco","Nevada","SL",-5.69034188985825,-38.4045501550039,3
"11","AJ Hill","Arkansas","BC",-0.62464427947998,-83.571183681488,1
"12","AJ Hill","Arkansas","BL",-0.693706750869751,-88.9585018157959,1
"13","AJ Hill","Arkansas","BR",-1.01330578327179,17.9651409387589,2
"14","AJ Hill","Arkansas","DC",-0.834638357162476,-56.9442093372345,1
"15","AJ Hill","Arkansas","DL",3.59972321987152,16.6220292448997,2
"16","AJ Hill","Arkansas","DR",-1.62759268283844,-27.5244176387787,1
"17","AJ Hill","Arkansas","MC",4.00275230407715,36.637407541275,1
"18","AJ Hill","Arkansas","ML",1.48833841085434,-32.306557893753,4
"19","AJ Hill","Arkansas","MR",1.74095416069031,40.3710186481476,1
"20","AJ Hill","Arkansas","SC",-0.187293171882629,8.64153703053792,6
"21","AJ Hill","Arkansas","SL",-0.510280430316925,-64.2198145389557,1
"22","AJ Hill","Arkansas","SR",5.79462385177612,3.65954041481018,7
"23","AJ Surace","Rutgers","BC",0.795161604881287,-24.4609981775284,2
"24","AJ Surace","Rutgers","BR",0.198738813400269,13.6133909225464,1
"25","AJ Surace","Rutgers","DL",5.63710784912109,67.7492499351501,1
"26","AJ Surace","Rutgers","DR",1.70190691947937,12.601999938488,2
"27","AJ Surace","Rutgers","MC",4.08849692344666,8.64877551794052,4
"28","AJ Surace","Rutgers","ML",0.546639025211334,92.846904695034,1
"29","AJ Surace","Rutgers","MR",0.339611172676086,-13.8460695743561,2
"30","AJ Surace","Rutgers","SC",8.10084207355976,6.53664395213127,8
"31","AJ Surace","Rutgers","SL",6.47077226638794,1.812344789505,6
"32","AJ Surace","Rutgers","SR",3.46418011188507,33.8087713718414,5
"33","Aaron Philo","Florida","BC",2.22739887237549,11.2194836139679,1
"34","Aaron Philo","Florida","BL",1.21110913157463,-0.36134198307991,8
"35","Aaron Philo","Florida","BR",9.03430789709091,2.11856636134061,11
"36","Aaron Philo","Florida","DC",12.3825085163116,35.5743077397346,5
"37","Aaron Philo","Florida","DL",2.5206133723259,16.4067316800356,4
"38","Aaron Philo","Florida","DR",6.0954926609993,17.3567807674408,5
"39","Aaron Philo","Florida","MC",3.83942770957947,8.06260506312053,3
"40","Aaron Philo","Florida","ML",1.66678285598755,-6.33887350559235,2
"41","Aaron Philo","Florida","MR",-0.584778785705566,-46.1752146482468,1
"42","Aaron Philo","Florida","SC",2.9358286857605,23.9948868751526,3
"43","Aaron Philo","Florida","SL",5.29780673980713,-9.08543798658583,9
"44","Aaron Philo","Florida","SR",4.03297907114029,12.0491697639227,10
"45","Adam Damante","New Mexico State","MR",1.93537330627441,34.7510278224945,1
"46","Adam Damante","New Mexico State","SR",1.28284382820129,23.2878506183624,1
"47","Adam Schobel","TCU","ML",-0.363630056381226,-60.9130024909973,1
"48","Aedan McCarthy","UMass","BC",-0.591189503669739,20.5264270305634,1
"49","Aedan McCarthy","UMass","BR",-0.396243929862976,9.2695415019989,1
"50","Aedan McCarthy","UMass","ML",-0.68744707107544,-59.4392359256744,1
"51","Aedan McCarthy","UMass","SR",-1.40797233581543,-8.0083005130291,1
"52","Aidan Armenta","Louisiana Monroe","BL",-1.79195272922516,-35.6303185224533,2
"53","Aidan Armenta","Louisiana Monroe","BR",0.988099902868271,16.0439804196358,4
"54","Aidan Armenta","Louisiana Monroe","DC",5.01393938064575,65.1153922080994,1
"55","Aidan Armenta","Louisiana Monroe","DR",-0.512762784957886,-0.899867216746012,3
"56","Aidan Armenta","Louisiana Monroe","MC",0.746471881866455,-15.241664648056,2
"57","Aidan Armenta","Louisiana Monroe","ML",-0.26982045173645,-7.16720893979073,1
"58","Aidan Armenta","Louisiana Monroe","MR",-0.0274664163589478,5.41688986122608,4
"59","Aidan Armenta","Louisiana Monroe","SC",1.82262945175171,-6.22709393501282,3
"60","Aidan Armenta","Louisiana Monroe","SL",-1.52933591604233,-13.5887908935547,5
"61","Aidan Armenta","Louisiana Monroe","SR",0.572109162807465,-6.0372818261385,4
"62","Aidan Armenta","Louisiana Monroe",NA,0.570798397064209,27.2705078125,1
"63","Aidan Chiles","Northwestern","BL",-2.03350538015366,10.3898525238037,2
"64","Aidan Chiles","Northwestern","BR",1.85167741775513,10.5715215206146,2
"65","Aidan Chiles","Northwestern","DC",4.65360879898071,57.649502158165,1
"66","Aidan Chiles","Northwestern","DL",2.3150486946106,19.8698211461306,2
"67","Aidan Chiles","Northwestern","DR",0.887076258659363,7.87920206785202,2
"68","Aidan Chiles","Northwestern","MC",11.6799694895744,12.5429309904575,8
"69","Aidan Chiles","Northwestern","ML",3.11780804395676,9.36063200235367,5
"70","Aidan Chiles","Northwestern","MR",0.0302523374557495,-8.2952193915844,3
"71","Aidan Chiles","Northwestern","SC",1.06025886535645,23.9827394485474,1
"72","Aidan Chiles","Northwestern","SL",2.96129739284515,9.34836367766062,6
"73","Aidan Chiles","Northwestern","SR",-3.42994272708893,-11.4138067300831,14
"74","Air Noland","Memphis","BR",1.00218486785889,14.5151734352112,1
"75","Air Noland","Memphis","SR",0.496041297912598,22.0667660236359,1
"76","Ajani Sheppard","Temple","BR",-0.282384067773819,-10.7491180300713,4
"77","Ajani Sheppard","Temple","DC",1.34493386745453,-10.9438866376877,2
"78","Ajani Sheppard","Temple","DL",5.75349533557892,17.0481666922569,4
"79","Ajani Sheppard","Temple","DR",6.79793322086334,14.2279416322708,4
"80","Ajani Sheppard","Temple","ML",0.254620313644409,-5.43487817049026,2
"81","Ajani Sheppard","Temple","SC",1.19824850559235,-12.5531221429507,6
"82","Ajani Sheppard","Temple","SL",0.4415043592453,-26.3612747192383,5
"83","Ajani Sheppard","Temple","SR",4.10115417838097,-3.10469174926931,11
"84","Akili Smith Jr.","Oregon","DL",-0.652077257633209,-37.1844932436943,2
"85","Akili Smith Jr.","Oregon","ML",0.818510591983795,34.405118227005,1
"86","Akili Smith Jr.","Oregon","SR",2.19312739372253,24.3793368339539,1
"87","Alberto Mendoza","Georgia Tech","BC",1.43412733078003,12.812864780426,2
"88","Alberto Mendoza","Georgia Tech","BL",1.36674821376801,16.8121423158381,9
"89","Alberto Mendoza","Georgia Tech","BR",-1.18322569131851,-8.6033488313357,6
"90","Alberto Mendoza","Georgia Tech","DC",7.75873851776123,21.4626275002956,4
"91","Alberto Mendoza","Georgia Tech","DL",-1.46326863765717,-45.2824160456657,2
"92","Alberto Mendoza","Georgia Tech","DR",4.45242881774902,10.1619049906731,2
"93","Alberto Mendoza","Georgia Tech","MC",1.23124319314957,3.67887665828069,6
"94","Alberto Mendoza","Georgia Tech","ML",1.7042818069458,-6.59172534942627,4
"95","Alberto Mendoza","Georgia Tech","MR",5.94465589523315,13.4125398264991,9
"96","Alberto Mendoza","Georgia Tech","SC",3.27862071990967,-12.6256372247423,14
"97","Alberto Mendoza","Georgia Tech","SL",9.42097499966621,19.680090546608,10
"98","Alberto Mendoza","Georgia Tech","SR",1.84633469581604,9.32090630133947,12
"99","Alessio Milivojevic","Michigan State","BC",-0.579161405563354,-12.7999842166901,1
"100","Alessio Milivojevic","Michigan State","BL",-3.30743926763535,12.7702623605728,4
"101","Alessio Milivojevic","Michigan State","DL",3.66770124435425,16.3894027471542,2
"102","Alessio Milivojevic","Michigan State","DR",-2.89233207702637,-41.2323176860809,2
"103","Alessio Milivojevic","Michigan State","MC",-1.64334857463837,-65.4285818338394,2
"104","Alessio Milivojevic","Michigan State","ML",2.09935945272446,20.0585898011923,6
"105","Alessio Milivojevic","Michigan State","MR",12.5244326591492,20.4649976708672,11
